layer_index,name,args,input_#,output_#,Param_#,dp_index,pp_index,tp_index,opcode,target,layer_type,input_shape,output_shape,param_shape,kwargs,dtype_size,direction,avg_mem_grp_idx,avg_mem_grp_size,min_comm_grp_id,min_comm_grp_sum,min_comm_grp_last_weight,compute_density_ops
0,x,(),0,0,0,0,0,0,placeholder,x,,,,,{},,FWD,1,3211200,0,3210688,40960,0.0
1,conv1,"(x,)",7840,576000,576,0,0,0,call_module,conv1,Conv2d,"[10, 1, 28, 28]","[10, 64, 30, 30]","{'weight': torch.Size([64, 1, 3, 3])}",{},[4],FWD,1,3211200,0,3210688,40960,5184000.0
2,bn1,"(conv1,)",576000,576000,128,0,0,0,call_module,bn1,BatchNorm2d,"[10, 64, 30, 30]","[10, 64, 30, 30]","{'weight': torch.Size([64]), 'bias': torch.Size([64])}",{},[4],FWD,1,3211200,0,3210688,40960,10368512.0
3,relu,"(bn1,)",576000,576000,0,0,0,0,call_module,relu,ReLU,"[10, 64, 30, 30]","[10, 64, 30, 30]",{},{},[4],FWD,1,3211200,0,3210688,40960,2304000.0
4,maxpool,"(relu,)",576000,144000,0,0,0,0,call_module,maxpool,MaxPool2d,"[10, 64, 30, 30]","[10, 64, 15, 15]",{},{},[4],FWD,1,3211200,0,3210688,40960,576000.0
5,layer1_0_conv1,"(maxpool,)",144000,144000,4096,0,0,0,call_module,layer1.0.conv1,Conv2d,"[10, 64, 15, 15]","[10, 64, 15, 15]","{'weight': torch.Size([64, 64, 1, 1])}",{},[4],FWD,1,3211200,0,3210688,40960,9216000.0
6,layer1_0_bn1,"(layer1_0_conv1,)",144000,144000,128,0,0,0,call_module,layer1.0.bn1,BatchNorm2d,"[10, 64, 15, 15]","[10, 64, 15, 15]","{'weight': torch.Size([64]), 'bias': torch.Size([64])}",{},[4],FWD,1,3211200,0,3210688,40960,2592512.0
7,layer1_0_relu,"(layer1_0_bn1,)",144000,144000,0,0,0,0,call_module,layer1.0.relu,ReLU,"[10, 64, 15, 15]","[10, 64, 15, 15]",{},{},[4],FWD,1,3211200,0,3210688,40960,576000.0
8,layer1_0_conv2,"(layer1_0_relu,)",144000,144000,36864,0,0,0,call_module,layer1.0.conv2,Conv2d,"[10, 64, 15, 15]","[10, 64, 15, 15]","{'weight': torch.Size([64, 64, 3, 3])}",{},[4],FWD,1,3211200,0,3210688,40960,82944000.0
9,layer1_0_bn2,"(layer1_0_conv2,)",144000,144000,128,0,0,0,call_module,layer1.0.bn2,BatchNorm2d,"[10, 64, 15, 15]","[10, 64, 15, 15]","{'weight': torch.Size([64]), 'bias': torch.Size([64])}",{},[4],FWD,1,3211200,0,3210688,40960,2592512.0
10,layer1_0_relu_1,"(layer1_0_bn2,)",144000,144000,0,0,0,0,call_module,layer1.0.relu,ReLU,"[10, 64, 15, 15]","[10, 64, 15, 15]",{},{},[4],FWD,1,3211200,0,3210688,40960,576000.0
11,layer1_0_conv3,"(layer1_0_relu_1,)",144000,576000,16384,0,0,0,call_module,layer1.0.conv3,Conv2d,"[10, 64, 15, 15]","[10, 256, 15, 15]","{'weight': torch.Size([256, 64, 1, 1])}",{},[4],FWD,1,3211200,0,3210688,40960,36864000.0
12,layer1_0_bn3,"(layer1_0_conv3,)",576000,576000,512,0,0,0,call_module,layer1.0.bn3,BatchNorm2d,"[10, 256, 15, 15]","[10, 256, 15, 15]","{'weight': torch.Size([256]), 'bias': torch.Size([256])}",{},[4],FWD,1,3211200,0,3210688,40960,10370048.0
13,layer1_0_downsample_0,"(maxpool,)",144000,576000,16384,0,0,0,call_module,layer1.0.downsample.0,Conv2d,"[10, 64, 15, 15]","[10, 256, 15, 15]","{'weight': torch.Size([256, 64, 1, 1])}",{},[4],FWD,1,3211200,0,3210688,40960,36864000.0
14,layer1_0_downsample_1,"(layer1_0_downsample_0,)",576000,576000,512,0,0,0,call_module,layer1.0.downsample.1,BatchNorm2d,"[10, 256, 15, 15]","[10, 256, 15, 15]","{'weight': torch.Size([256]), 'bias': torch.Size([256])}",{},[4],FWD,1,3211200,0,3210688,40960,10370048.0
15,add,"(layer1_0_bn3, layer1_0_downsample_1)",576000,576000,0,0,0,0,call_function,<built-in function add>,,"[10, 256, 15, 15]","[10, 256, 15, 15]",0,{},[4],FWD,1,3211200,0,3210688,40960,576000.0
16,layer1_0_relu_2,"(add,)",576000,576000,0,0,0,0,call_module,layer1.0.relu,ReLU,"[10, 256, 15, 15]","[10, 256, 15, 15]",{},{},[4],FWD,1,3211200,0,3210688,40960,2304000.0
