global_index,avg_mem_grp_idx,layer_index,name,args,dp_args,input_#,output_#,Param_#,dp_index,pp_index,tp_index,opcode,target,layer_type,input_shape,output_shape,param_shape,kwargs,dtype_size,direction,avg_mem_grp_size,compute_density_ops
0,8,176,output_0_0_bkwd,(),[],100,100,0,0,0,0,output,output,,"[10, 10]","[10, 10]",0,{},[4],BKWD,1073162,100.0
1,8,175,fc_0_0_bkwd,"('output_0_0_bkwd',)",[],100,20480,20490,0,0,0,call_module,fc,Linear,"[10, 10]","[10, 2048]","{'weight': torch.Size([10, 2048]), 'bias': torch.Size([10])}",{},[4],BKWD,1073162,175937606.17844746
2,8,174,view_0_0_bkwd,"('fc_0_0_bkwd',)",[],20480,20480,0,0,0,0,call_method,view,,"[10, 2048, 1, 1]","[10, 2048, 1, 1]",0,{},[4],BKWD,1073162,20480.0
3,8,173,size_0_0_bkwd,"('view_0_0_bkwd',)",[],20480,20480,0,0,0,0,call_method,size,,"[10, 2048, 1, 1]","[10, 2048, 1, 1]",0,{},[4],BKWD,1073162,20480.0
4,8,172,avgpool_0_0_bkwd,"('size_0_0_bkwd', 'view_0_0_bkwd')",[],20480,81920,0,0,0,0,call_module,avgpool,AvgPool2d,"[10, 2048, 1, 1]","[10, 2048, 2, 2]",{},{},[4],BKWD,1073162,163840.0
5,8,171,layer4_2_relu_2_0_0_bkwd,"('avgpool_0_0_bkwd',)",[],81920,81920,0,0,0,0,call_module,layer4.2.relu,ReLU,"[10, 2048, 2, 2]","[10, 2048, 2, 2]",{},{},[4],BKWD,1073162,327680.0
6,8,170,add_15_0_0_bkwd,"('layer4_2_relu_2_0_0_bkwd',)",[],81920,81920,0,0,0,0,call_function,<built-in function add>,,"[10, 2048, 2, 2]","[10, 2048, 2, 2]",0,{},[4],BKWD,1073162,81920.0
7,8,169,layer4_2_bn3_0_0_bkwd,"('add_15_0_0_bkwd',)",[],81920,81920,4096,0,0,0,call_module,layer4.2.bn3,BatchNorm2d,"[10, 2048, 2, 2]","[10, 2048, 2, 2]","{'weight': torch.Size([2048]), 'bias': torch.Size([2048])}",{},[4],BKWD,1073162,2981888.0
8,8,168,layer4_2_conv3_0_0_bkwd,"('layer4_2_bn3_0_0_bkwd',)",[],81920,20480,1048576,0,0,0,call_module,layer4.2.conv3,Conv2d,"[10, 2048, 2, 2]","[10, 512, 2, 2]","{'weight': torch.Size([2048, 512, 1, 1])}",{},[4],BKWD,1073162,83886080.0
9,7,167,layer4_2_relu_1_0_0_bkwd,"('layer4_2_conv3_0_0_bkwd',)",[],20480,20480,0,0,0,0,call_module,layer4.2.relu,ReLU,"[10, 512, 2, 2]","[10, 512, 2, 2]",{},{},[4],BKWD,3409920,81920.0
